lines   cov%   module   (path)
    9   100%   LongchangCui_PA1   (LongchangCui_PA1.py)
   16   100%   __config__   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\__config__.py)
   60   100%   __future__   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\__future__.py)
  295   100%   __init__   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py)
  387   100%   _add_newdocs   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_add_newdocs.py)
   15   100%   _asarray   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_asarray.py)
    9   100%   _collections_abc   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\_collections_abc.py)
   20   100%   _compression   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\_compression.py)
   49   100%   _datasource   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\_datasource.py)
   15   100%   _distributor_init   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\_distributor_init.py)
   34   100%   _dtype   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_dtype.py)
   20   100%   _dtype_ctypes   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_dtype_ctypes.py)
   13   100%   _endian   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\ctypes\_endian.py)
   46   100%   _exceptions   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_exceptions.py)
   22   100%   _globals   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\_globals.py)
   61   100%   _inspect   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\compat\_inspect.py)
  156   100%   _internal   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_internal.py)
   66   100%   _iotools   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\_iotools.py)
   37   100%   _methods   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_methods.py)
  103   100%   _polybase   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\_polybase.py)
   11   100%   _pytesttester   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\_pytesttester.py)
   15   100%   _string_helpers   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_string_helpers.py)
  161   100%   _type_aliases   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_type_aliases.py)
   70   100%   _ufunc_config   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\_ufunc_config.py)
   18   100%   _version   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\_version.py)
    8   100%   abc   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\abc.py)
  515   100%   argparse   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\argparse.py)
   21   100%   arraypad   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\arraypad.py)
  146   100%   arrayprint   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\arrayprint.py)
   34   100%   arraysetops   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\arraysetops.py)
   15   100%   arrayterator   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\arrayterator.py)
   19   100%   ast   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\ast.py)
   52   100%   base64   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\base64.py)
    9   100%   bisect   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\bisect.py)
   36   100%   bz2   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\bz2.py)
  184   100%   case   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\unittest\case.py)
   74   100%   chebyshev   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\chebyshev.py)
    7   100%   contextlib   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\contextlib.py)
    5   100%   copyreg   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\copyreg.py)
  724   100%   core   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\ma\core.py)
   46   100%   ctypeslib   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\ctypeslib.py)
  378   100%   datetime   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\datetime.py)
    5   100%   decimal   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\decimal.py)
   16   100%   decorators   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\testing\_private\decorators.py)
  183   100%   defchararray   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\defchararray.py)
   57   100%   defmatrix   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\matrixlib\defmatrix.py)
   71   100%   difflib   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\difflib.py)
   23   100%   einsumfunc   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\einsumfunc.py)
  215   100%   enum   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\enum.py)
  111   100%   extras   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\ma\extras.py)
   46   100%   financial   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\financial.py)
   33   100%   fnmatch   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\fnmatch.py)
   34   100%   format   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\format.py)
  151   100%   fromnumeric   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\fromnumeric.py)
  202   100%   function_base   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\function_base.py)
   18   100%   functools   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\functools.py)
  217   100%   getlimits   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\getlimits.py)
   59   100%   gettext   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\gettext.py)
   51   100%   glob   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\glob.py)
   57   100%   hashlib   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\hashlib.py)
   16   100%   helper   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\fft\helper.py)
   63   100%   hermite   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\hermite.py)
   64   100%   hermite_e   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\hermite_e.py)
   43   100%   histograms   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\histograms.py)
   22   100%   hmac   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\hmac.py)
   85   100%   index_tricks   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\index_tricks.py)
    3   100%   info   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\fft\info.py)
   62   100%   laguerre   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\laguerre.py)
   62   100%   legendre   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\legendre.py)
  115   100%   linalg   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\linalg\linalg.py)
   51   100%   loader   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\unittest\loader.py)
   14   100%   locale   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\locale.py)
   41   100%   lzma   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\lzma.py)
   16   100%   machar   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\machar.py)
   33   100%   main   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\unittest\main.py)
   23   100%   memmap   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\memmap.py)
   59   100%   mixins   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\mixins.py)
   97   100%   multiarray   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\multiarray.py)
   68   100%   nanfunctions   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\nanfunctions.py)
   23   100%   nosetester   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\testing\_private\nosetester.py)
   80   100%   npyio   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\lib\npyio.py)
   68   100%   ntpath   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\ntpath.py)
   84   100%   numbers   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\numbers.py)
  154   100%   numeric   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\numeric.py)
   90   100%   numerictypes   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\numerictypes.py)
   20   100%   os   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\os.py)
   63   100%   overrides   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\core\overrides.py)
  159   100%   parse   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\urllib\parse.py)
  224   100%   pathlib   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\pathlib.py)
  125   100%   platform   (C:\Users\cuilo\AppData\Local\Programs\Python\Python37\lib\platform.py)
   45   100%   pocketfft   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\fft\pocketfft.py)
   59   100%   polynomial   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\polynomial.py)
   36   100%   polyutils   (C:\Users\cuilo\AppData\Roaming\Python\Python37\site-packages\numpy\polynomial\polyutils.py)
